5020,5002,171.06,171,Iris-setosa
2657,12292,171.13,171.1,Iris-setosa
2320,3618,171.2,171.19,Iris-setosa
3917,4420,171.07,171.115,Iris-setosa
6426,2938,171.05,171.14,Iris-setosa
3550,6672,171.09,171.09,Iris-setosa
4096,1405,171.1,171.13,Iris-setosa
6583,7186,171.13,171.1158,Iris-setosa
2130,7133,170.87,170.87,Iris-setosa
7598,4998,170.84,170.85,Iris-setosa
5041,6991,170.825,170.87,Iris-setosa
4554,9658,170.92,170.881,Iris-setosa
3200,5200,170.75,170.83,Iris-setosa
1685,3961,170.7675,170.6122,Iris-setosa
3373,5639,170.74,170.76,Iris-setosa
10975,9544,170.69,170.75,Iris-setosa
3315,2533,170.76,170.76,Iris-setosa
1100,11859,170.89,170.78,Iris-setosa
10000,6954,170.96,170.92,Iris-setosa
14656,4588,170.97,171,Iris-setosa
5625,3783,170.95,170.92,Iris-setosa
2958,5183,170.98,170.98,Iris-setosa
5685,6912,170.84,170.88,Iris-setosa
2140,3028,170.979,170.92,Iris-setosa
4635,5659,170.96,170.96,Iris-setosa
3555,5514,171,170.99,Iris-setosa
5795,2600,171.03,171.05,Iris-setosa
9009,8073,170.97,170.965,Iris-setosa
6346,4330,171,171.01,Iris-setosa
3759,5278,171.12,171.08,Iris-setosa
2552,4728,171.08,171.09,Iris-setosa
8601,3998,171,171.1,Iris-setosa
7889,3169,170.95,171.01,Iris-setosa
6354,5575,171,170.99,Iris-setosa
3507,5761,171.08,171.04,Iris-setosa
4678,3300,171.11,171.09,Iris-setosa
2939,6614,171.11,171.0939,Iris-setosa
3150,2413,171.11,171.12,Iris-setosa
6917,7057,171.05,171.01,Iris-setosa
7878,4841,171.17,171.14,Iris-setosa
3896,9633,171.06,171.11,Iris-setosa
6645,9071,170.93,170.91,Iris-setosa
5063,4187,171,170.99,Iris-setosa
1800,4320,171.05,171.04,Iris-setosa
5473,6894,171.105,171.06,Iris-setosa
12299,10421,171.075,171.16,Iris-setosa
8121,4800,171.1043,171.08,Iris-setosa
10750,6609,171.1,171.075,Iris-setosa
5211,6900,171.13,171.11,Iris-setosa
7675,5687,170.98,171.02,Iris-setosa
2655,6408,170.98,170.96,Iris-setosa
3974,1260,170.97,170.98,Iris-setosa
8316,11162,170.42,170.42,Iris-setosa
9864,6003,170.44,170.43,Iris-setosa
15070,6110,170.5898,170.525,Iris-setosa
3092,7870,170.66,170.64,Iris-setosa
19091,9457,170.53,170.6,Iris-setosa
16081,18853,170.47,170.42,Iris-setosa
8040,2546,170.51,170.5,Iris-setosa
5557,14721,170.56,170.53,Iris-setosa
13143,12542,170.6,170.56,Iris-setosa
3350,7876,170.61,170.61,Iris-setosa
3611,16455,170.66,170.63,Iris-setosa
9075,8954,170.68,170.67,Iris-setosa
18788,9839,170.51,170.52,Iris-setosa
10205,17396,170.54,170.52,Iris-setosa
12452,9519,170.56,170.57,Iris-setosa
12587,11081,170.53,170.58,Iris-setosa
16408,15275,170.52,170.57,Iris-setosa
31686,14493,170.36,170.53,Iris-setosa
21377,15717,170.32,170.38,Iris-setosa
11254,21029,170.34,170.325,Iris-setosa
56063,62694,170.03,170.03,Iris-setosa
400,800,170.01,170.03,Iris-setosa
84298,63402,163.55,163.43,Iris-setosa
35961,12482,163.19,163.21,Iris-setosa
24254,28193,163.3,163.25,Iris-setosa
5439,12893,163.6,163.51,Iris-setosa
16011,24386,164,163.7,Iris-setosa
2551,12853,164.01,164,Iris-setosa
50666,5111,163.8,164,Iris-setosa
7100,10839,163.5,163.74,Iris-setosa
9760,6033,163.5,163.6,Iris-setosa
7625,15857,163.07,163.11,Iris-setosa
4585,1600,163.16,163.16,Iris-setosa
3772,4632,163.19,163.15,Iris-setosa
5485,15016,162.71,162.78,Iris-setosa
706,5797,162.72,162.71,Iris-setosa
3600,100,162.86,162.88,Iris-setosa
475,850,162.85,162.93,Iris-setosa
890,2800,162.89,162.9,Iris-setosa
500,877,162.85,162.85,Iris-setosa
800,1700,162.9,162.9,Iris-setosa
950,700,162.9,163,Iris-setosa
34170,4465,161.8,162.11,Iris-setosa
1051,2500,161.9,161.85,Iris-setosa
14451,1250,161.75,162,Iris-setosa
9682,500,161.8,161.9,Iris-setosa
1248,1709,161.9,161.8,Iris-setosa
2500,3652,161.99,162,Iris-setosa
700,4583,161.31,161.36,Iris-setosa
1470,6250,161.13,161.15,Iris-setosa
35499,3390,160.85,161.2,Iris-setosa
300,625,161,160.9,Iris-setosa
4280,400,160.8,161.1,Iris-setosa
1045,600,160.87,160.87,Iris-setosa
2175,100,160.9,160.9,Iris-setosa
450,605,160.97,161,Iris-setosa
1910,250,160.75,161,Iris-setosa
409,250,160.85,160.85,Iris-setosa
1020,1750,160.89,160.75,Iris-setosa
2180,400,160.8,160.95,Iris-setosa
370,400,160.9,160.82,Iris-setosa
